roll_time,old_id,new_id,old_time,new_time,old_close,new_open,gap,ratio
2021-09-15 00:00:00+00:00,828,2770,2021-09-14 23:59:00+00:00,2021-09-15 00:00:00+00:00,15414.5,15407.5,-7.0,0.9995458821239742
2021-12-16 00:00:00+00:00,2770,3541,2021-12-15 23:59:00+00:00,2021-12-16 00:00:00+00:00,16327.5,16323.25,-4.25,0.999739702955137
2022-03-17 00:00:00+00:00,3541,2895,2022-03-16 23:59:00+00:00,2022-03-17 00:00:00+00:00,13981.5,13977.25,-4.25,0.9996960268926797
2022-06-16 00:00:00+00:00,2895,10391,2022-06-15 23:59:00+00:00,2022-06-16 00:00:00+00:00,11690.75,11725.25,34.5,1.0029510510446293
2022-09-15 00:00:00+00:00,10391,13613,2022-09-14 23:59:00+00:00,2022-09-15 00:00:00+00:00,12168.25,12247.5,79.25,1.006512851067327
2022-12-15 00:00:00+00:00,13613,20631,2022-12-14 23:59:00+00:00,2022-12-15 00:00:00+00:00,11763.5,11883.5,120.0,1.0102010456071748
2023-03-16 00:00:00+00:00,20631,3522,2023-03-15 23:59:00+00:00,2023-03-16 00:00:00+00:00,12276.25,12403.25,127.0,1.0103451786987068
2023-06-15 00:00:00+00:00,3522,2130,2023-06-14 23:59:00+00:00,2023-06-15 00:00:00+00:00,15030.0,15214.25,184.25,1.0122588157019294
2023-09-14 00:00:00+00:00,2130,260937,2023-09-13 23:59:00+00:00,2023-09-14 00:00:00+00:00,15384.75,15579.25,194.5,1.012642389379093
2023-12-13 00:00:00+00:00,260937,750,2023-12-12 23:59:00+00:00,2023-12-13 00:00:00+00:00,16396.0,16609.25,213.25,1.0130062210295194
2024-03-14 00:00:00+00:00,750,13743,2024-03-13 23:59:00+00:00,2024-03-14 00:00:00+00:00,18122.5,18373.25,250.75,1.0138363912263761
2024-06-19 00:00:00+00:00,13743,4358,2024-06-18 23:59:00+00:00,2024-06-19 00:00:00+00:00,19945.5,20223.25,277.75,1.0139254468426462
2024-09-19 00:00:00+00:00,4358,106364,2024-09-18 23:59:00+00:00,2024-09-19 00:00:00+00:00,19529.5,19764.0,234.5,1.0120074758698379
2024-12-19 00:00:00+00:00,106364,42288528,2024-12-18 23:59:00+00:00,2024-12-19 00:00:00+00:00,21199.25,21472.25,273.0,1.012877814073611
2025-03-20 00:00:00+00:00,42288528,42005804,2025-03-19 23:59:00+00:00,2025-03-20 00:00:00+00:00,19823.5,20031.5,208.0,1.0104925971700254
2025-06-18 00:00:00+00:00,42005804,42008487,2025-06-17 23:59:00+00:00,2025-06-18 00:00:00+00:00,21681.0,21905.5,224.5,1.0103546884368801
2025-09-18 00:00:00+00:00,42008487,158704,2025-09-17 23:59:00+00:00,2025-09-18 00:00:00+00:00,24341.5,24584.25,242.75,1.009972680401783
2025-12-18 00:00:00+00:00,158704,42002475,2025-12-17 23:59:00+00:00,2025-12-18 00:00:00+00:00,24705.0,24933.5,228.5,1.0092491398502328
2026-03-19 00:00:00+00:00,42002475,42004058,2026-03-18 23:59:00+00:00,2026-03-19 00:00:00+00:00,24410.5,24618.25,207.75,1.0085106818786997
2026-06-17 00:00:00+00:00,42004058,42004177,2026-06-16 23:59:00+00:00,2026-06-17 00:00:00+00:00,30012.75,30330.5,317.75,1.0105871671206403
